well,serum,dilution_factor,replicate,fastq
A1,AUS24_s007_prevax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_1_S1_R1_001.fastq.gz
B1,AUS24_s007_postvax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_2_S2_R1_001.fastq.gz
C1,AUS24_s008_prevax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_3_S3_R1_001.fastq.gz
D1,AUS24_s008_postvax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_4_S4_R1_001.fastq.gz
E1,AUS24_s009_prevax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_5_S5_R1_001.fastq.gz
F1,AUS24_s009_postvax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_6_S6_R1_001.fastq.gz
G1,AUS24_s010_prevax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_7_S7_R1_001.fastq.gz
H1,AUS24_s010_postvax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_8_S8_R1_001.fastq.gz
A2,AUS24_s007_prevax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_9_S9_R1_001.fastq.gz
B2,AUS24_s007_postvax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_10_S10_R1_001.fastq.gz
C2,AUS24_s008_prevax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_11_S11_R1_001.fastq.gz
D2,AUS24_s008_postvax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_12_S12_R1_001.fastq.gz
E2,AUS24_s009_prevax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_13_S13_R1_001.fastq.gz
F2,AUS24_s009_postvax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_14_S14_R1_001.fastq.gz
G2,AUS24_s010_prevax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_15_S15_R1_001.fastq.gz
H2,AUS24_s010_postvax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_16_S16_R1_001.fastq.gz
A3,AUS24_s007_prevax,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_17_S17_R1_001.fastq.gz
B3,AUS24_s007_postvax,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_18_S18_R1_001.fastq.gz
C3,AUS24_s008_prevax,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_19_S19_R1_001.fastq.gz
D3,AUS24_s008_postvax,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_20_S20_R1_001.fastq.gz
E3,AUS24_s009_prevax,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_21_S21_R1_001.fastq.gz
F3,AUS24_s009_postvax,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_22_S22_R1_001.fastq.gz
G3,AUS24_s010_prevax,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_23_S23_R1_001.fastq.gz
H3,AUS24_s010_postvax,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_24_S24_R1_001.fastq.gz
A4,AUS24_s007_prevax,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_25_S25_R1_001.fastq.gz
B4,AUS24_s007_postvax,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_26_S26_R1_001.fastq.gz
C4,AUS24_s008_prevax,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_27_S27_R1_001.fastq.gz
D4,AUS24_s008_postvax,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_28_S28_R1_001.fastq.gz
E4,AUS24_s009_prevax,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_29_S29_R1_001.fastq.gz
F4,AUS24_s009_postvax,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_30_S30_R1_001.fastq.gz
G4,AUS24_s010_prevax,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_31_S31_R1_001.fastq.gz
H4,AUS24_s010_postvax,320,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_32_S32_R1_001.fastq.gz
A5,AUS24_s007_prevax,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_33_S33_R1_001.fastq.gz
B5,AUS24_s007_postvax,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_34_S34_R1_001.fastq.gz
C5,AUS24_s008_prevax,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_35_S35_R1_001.fastq.gz
D5,AUS24_s008_postvax,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_36_S36_R1_001.fastq.gz
E5,AUS24_s009_prevax,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_37_S37_R1_001.fastq.gz
F5,AUS24_s009_postvax,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_38_S38_R1_001.fastq.gz
G5,AUS24_s010_prevax,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_39_S39_R1_001.fastq.gz
H5,AUS24_s010_postvax,640,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_40_S40_R1_001.fastq.gz
A6,AUS24_s007_prevax,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_41_S41_R1_001.fastq.gz
B6,AUS24_s007_postvax,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_42_S42_R1_001.fastq.gz
C6,AUS24_s008_prevax,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_43_S43_R1_001.fastq.gz
D6,AUS24_s008_postvax,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_44_S44_R1_001.fastq.gz
E6,AUS24_s009_prevax,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_45_S45_R1_001.fastq.gz
F6,AUS24_s009_postvax,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_46_S46_R1_001.fastq.gz
G6,AUS24_s010_prevax,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_47_S47_R1_001.fastq.gz
H6,AUS24_s010_postvax,1280,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_48_S48_R1_001.fastq.gz
A7,AUS24_s007_prevax,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_49_S49_R1_001.fastq.gz
B7,AUS24_s007_postvax,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_50_S50_R1_001.fastq.gz
C7,AUS24_s008_prevax,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_51_S51_R1_001.fastq.gz
D7,AUS24_s008_postvax,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_52_S52_R1_001.fastq.gz
E7,AUS24_s009_prevax,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_53_S53_R1_001.fastq.gz
F7,AUS24_s009_postvax,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_54_S54_R1_001.fastq.gz
G7,AUS24_s010_prevax,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_55_S55_R1_001.fastq.gz
H7,AUS24_s010_postvax,2560,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_56_S56_R1_001.fastq.gz
A8,AUS24_s007_prevax,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_57_S57_R1_001.fastq.gz
B8,AUS24_s007_postvax,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_58_S58_R1_001.fastq.gz
C8,AUS24_s008_prevax,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_59_S59_R1_001.fastq.gz
D8,AUS24_s008_postvax,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_60_S60_R1_001.fastq.gz
E8,AUS24_s009_prevax,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_61_S61_R1_001.fastq.gz
F8,AUS24_s009_postvax,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_62_S62_R1_001.fastq.gz
G8,AUS24_s010_prevax,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_63_S63_R1_001.fastq.gz
H8,AUS24_s010_postvax,5120,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_64_S64_R1_001.fastq.gz
