well,serum,dilution_factor,replicate,fastq
A1,PENN23_y1978_s039_d0,40,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_1_S97_R1_001.fastq.gz
B1,PENN23_y1978_s039_d28,40,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_2_S98_R1_001.fastq.gz
C1,PENN23_y1999_s046_d0,40,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_3_S99_R1_001.fastq.gz
D1,PENN23_y1999_s046_d28,40,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_4_S100_R1_001.fastq.gz
E1,PENN23_y1981_s053_d0,40,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_5_S101_R1_001.fastq.gz
F1,PENN23_y1981_s053_d28,40,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_6_S102_R1_001.fastq.gz
G1,PENN23_y1996_s056_d0,40,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_7_S103_R1_001.fastq.gz
H1,PENN23_y1996_s056_d28,40,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_8_S104_R1_001.fastq.gz
A2,PENN23_y1978_s039_d0,80,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_9_S105_R1_001.fastq.gz
B2,PENN23_y1978_s039_d28,80,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_10_S106_R1_001.fastq.gz
C2,PENN23_y1999_s046_d0,80,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_11_S107_R1_001.fastq.gz
D2,PENN23_y1999_s046_d28,80,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_12_S108_R1_001.fastq.gz
E2,PENN23_y1981_s053_d0,80,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_13_S109_R1_001.fastq.gz
F2,PENN23_y1981_s053_d28,80,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_14_S110_R1_001.fastq.gz
G2,PENN23_y1996_s056_d0,80,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_15_S111_R1_001.fastq.gz
H2,PENN23_y1996_s056_d28,80,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_16_S112_R1_001.fastq.gz
A3,PENN23_y1978_s039_d0,160,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_17_S113_R1_001.fastq.gz
B3,PENN23_y1978_s039_d28,160,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_18_S114_R1_001.fastq.gz
C3,PENN23_y1999_s046_d0,160,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_19_S115_R1_001.fastq.gz
D3,PENN23_y1999_s046_d28,160,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_20_S116_R1_001.fastq.gz
E3,PENN23_y1981_s053_d0,160,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_21_S117_R1_001.fastq.gz
F3,PENN23_y1981_s053_d28,160,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_22_S118_R1_001.fastq.gz
G3,PENN23_y1996_s056_d0,160,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_23_S119_R1_001.fastq.gz
H3,PENN23_y1996_s056_d28,160,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_24_S120_R1_001.fastq.gz
A4,PENN23_y1978_s039_d0,320,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_25_S121_R1_001.fastq.gz
B4,PENN23_y1978_s039_d28,320,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_26_S122_R1_001.fastq.gz
C4,PENN23_y1999_s046_d0,320,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_27_S123_R1_001.fastq.gz
D4,PENN23_y1999_s046_d28,320,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_28_S124_R1_001.fastq.gz
E4,PENN23_y1981_s053_d0,320,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_29_S125_R1_001.fastq.gz
F4,PENN23_y1981_s053_d28,320,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_30_S126_R1_001.fastq.gz
G4,PENN23_y1996_s056_d0,320,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_31_S127_R1_001.fastq.gz
H4,PENN23_y1996_s056_d28,320,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_32_S128_R1_001.fastq.gz
A5,PENN23_y1978_s039_d0,640,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_33_S129_R1_001.fastq.gz
B5,PENN23_y1978_s039_d28,640,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_34_S130_R1_001.fastq.gz
C5,PENN23_y1999_s046_d0,640,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_35_S131_R1_001.fastq.gz
D5,PENN23_y1999_s046_d28,640,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_36_S132_R1_001.fastq.gz
E5,PENN23_y1981_s053_d0,640,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_37_S133_R1_001.fastq.gz
F5,PENN23_y1981_s053_d28,640,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240607_VH00319_519_AACKG5JHV/Unaligned/Project_bloom_lab/PlateB_38_S134_R1_001.fastq.gz
