group,serum,virus,titer,titer_bound,titer_sem,n_replicates,titer_as
SCH,SCH23_y2015_s031,A/Abu_Dhabi/6753/2023,549.1,interpolated,72.51,3,midpoint
SCH,SCH23_y2015_s031,A/Bangkok/P3599/2023,798.3,interpolated,114.8,3,midpoint
SCH,SCH23_y2015_s031,A/Bangkok/P3755/2023,604.2,interpolated,102.2,3,midpoint
SCH,SCH23_y2015_s031,A/Bhutan/0006/2023,694.8,interpolated,96.63,3,midpoint
SCH,SCH23_y2015_s031,A/Bhutan/0845/2023,562.2,interpolated,66.97,3,midpoint
SCH,SCH23_y2015_s031,A/Bhutan/FLU-BTG-00988/2022,676.6,interpolated,43.37,3,midpoint
SCH,SCH23_y2015_s031,A/Brisbane/429/2023,857.9,interpolated,43.28,3,midpoint
SCH,SCH23_y2015_s031,A/Busan/1301/2023,735.8,interpolated,131,3,midpoint
SCH,SCH23_y2015_s031,A/California/81/2023,749.5,interpolated,30,3,midpoint
SCH,SCH23_y2015_s031,A/Cambodia/e0826360/2020,386.6,interpolated,13.02,3,midpoint
SCH,SCH23_y2015_s031,A/Cambodia/e0826360/2020_egg,674.4,interpolated,246.1,3,midpoint
SCH,SCH23_y2015_s031,A/Catalonia/2041146NS/2023,869.8,interpolated,78.24,3,midpoint
SCH,SCH23_y2015_s031,A/Catalonia/NSVH102124476/2023,624.6,interpolated,21.16,3,midpoint
SCH,SCH23_y2015_s031,A/Chipata/15-NIC-001/2023,774.7,interpolated,47.49,3,midpoint
SCH,SCH23_y2015_s031,A/Darwin/6/2021,584.3,interpolated,50.01,3,midpoint
SCH,SCH23_y2015_s031,A/Darwin/9/2021,3060,interpolated,118.8,3,midpoint
SCH,SCH23_y2015_s031,A/EHIME/50/2023,483.6,interpolated,5.487,3,midpoint
SCH,SCH23_y2015_s031,A/Finland/391/2023,916,interpolated,91.98,3,midpoint
SCH,SCH23_y2015_s031,A/Finland/399/2023,484.8,interpolated,22.03,3,midpoint
SCH,SCH23_y2015_s031,A/Georgia/40/2023,788.7,interpolated,69.89,3,midpoint
SCH,SCH23_y2015_s031,A/Guangdong-Futian/1980/2023,939.1,interpolated,27.27,3,midpoint
SCH,SCH23_y2015_s031,A/Hong_Kong/2671/2019,678.1,interpolated,36.36,3,midpoint
SCH,SCH23_y2015_s031,A/Hong_Kong/45/2019,364.7,interpolated,1.427,3,midpoint
SCH,SCH23_y2015_s031,A/Hong_Kong/4801/2014,565.9,interpolated,20.97,3,midpoint
SCH,SCH23_y2015_s031,A/Hong_Kong/4801/2014_(15/192),1490,interpolated,40.54,3,midpoint
SCH,SCH23_y2015_s031,A/Jeju/1047/2023,793.5,interpolated,121.2,3,midpoint
SCH,SCH23_y2015_s031,A/KANAGAWA/AC2316/2023,1001,interpolated,94.45,3,midpoint
SCH,SCH23_y2015_s031,A/KANAGAWA/IC2239/2023,905.9,interpolated,49.86,3,midpoint
SCH,SCH23_y2015_s031,A/Kansas/14/2017,692.6,interpolated,122.6,3,midpoint
SCH,SCH23_y2015_s031,A/Krabi/THIS050/2023,630.4,interpolated,38.15,3,midpoint
SCH,SCH23_y2015_s031,A/Luga/RII-11393S/2023,298.5,interpolated,33.43,3,midpoint
SCH,SCH23_y2015_s031,A/Malaysia/IMR-SARI1989/2023,942.2,interpolated,217.5,3,midpoint
SCH,SCH23_y2015_s031,A/Maldives/852/2023,789.2,interpolated,81.32,3,midpoint
SCH,SCH23_y2015_s031,A/Massachusetts/18/2022,805.1,interpolated,58.02,3,midpoint
SCH,SCH23_y2015_s031,A/Netherlands/01685/2023,858.5,interpolated,61.8,3,midpoint
SCH,SCH23_y2015_s031,A/Netherlands/01693/2023,678.9,interpolated,40.16,3,midpoint
SCH,SCH23_y2015_s031,A/Netherlands/01760/2023,611.6,interpolated,9.289,3,midpoint
SCH,SCH23_y2015_s031,A/Oman/3011/2023,795.3,interpolated,77.49,3,midpoint
SCH,SCH23_y2015_s031,A/Ontario/RV00796/2023,613.8,interpolated,29.36,3,midpoint
SCH,SCH23_y2015_s031,A/Romania/543634/2022,895.2,interpolated,156.8,3,midpoint
SCH,SCH23_y2015_s031,A/SENDAI/45/2023,355.6,interpolated,51.33,3,midpoint
SCH,SCH23_y2015_s031,A/SOUTH_AFRICA/R07876/202023,797.6,interpolated,59.08,3,midpoint
